u i d	uid
cr	critic
u m l	uml
x m l	xml
mgr	manager
ppfactories	property panel factories
versionunique	version unique
identifierlog	identifier log
bg	Background
assoc	association
cur	current
comp	component
asc	association
o c l	ocl
g u i	gui
impl	implement
fig	figure
triggs	triggers
m d r	mdr
rect	rectangle
deltax	delta x
deltay	delta y
figs	figures
inout	in out
e u m l	emul
o stream	output stream
p n g	png
g i f	gif
Mech	mechanism
expr	expression
tok	token
delims	delimiters
sep	separator
info	information
u r l	url
val	value
stereo	stereotype
i d	id
saveall	save all
arg	argument
args	arguments
laf	look and feel
c m	control mechanism
calc	calculate
dn d	drag and drop
c p u	cpu
todoitem	todo item
wiz	wizard
m e	model element
desc	description
cond	condition
s i n g l e t o n	singleton
ns	namespace
o k	ok
mi	model interpreter
exp	expression
orderedcolls	ordered collections
modelcollections	model collections
modelorderedcollections	model ordered collections
config	configure
collectionlist	collection list
orderedcollectionlist	ordered collection list
argo u m l	argouml
gen	generator
u u i d	universally unique identifier
collab	collaboration
mech	mechanism
j v m	jvm
statebody	state body
actionstate	action state
componentinstance	component instance
nodeinstance	node instance
objectflowstate	object flow state
callstate	call state
classifierrole	classifier role
num	number
classdiagram	class diagram
dest	destination
agg	aggregate
pos	position
dir	directory
powertype	power type
mult	multiple
attr	attribute
pred	Predicate
oper	operations
multi	multiple
layouted	layout
pkg	package
rollover	roll over
nav	navigator
i n i t i a l	initial
j o i n	join
c h o i c e	choice
f o r k	fork
j u n c t i o n	junction
nocolumn	no column
norank	no rank
noweight	no weight
disambig	disambiguous
dup	duplicate
autoscroll	auto scroll
prop	property
submachine	sub machine
subdirs	sub directories
subactivity	sub activity
chk	check
finsh	finish
toolbar	tool bar
msg	message
obj	object
params	parameters
seq	sequence
profilesfrom	profiles from
sep	separate
trans	transitions
transitionto	transition to
jlst	j list
jlbl	j label
jbtn	j button
searchpath	search path
authorname	author name
authoremail	author email
historyfile	history file
showassociationnames	show association names
notationlanguage	notation language
showboldnames	show bold names
useguillemots	use guillemots
showmultiplicity	show multiplicity
showvisibility	show visibility
showinitialvalue	show initial value
showproperties	show properties
showtypes	show types
showstereotypes	show stereotypes
showsingularmultiplicities	show singular multiplicities
hidebidirectionalarrows	hide bidirectional arrows
fontname	font name
fontsize	font size
defaultshadowwidth	default shadow width
posn	position
min	minimum
vert	vertical
showem	show em
chr	character
utils	utilities
max	maximum
std	standard
d quot	double quote
quot	quote
a c t i o n	action
k e y	key
e s c a p e	escape
log	 
is	 
to	  
access	 	 	 
serial	 
version	 
unique	 
identifier	 
s v g	svg
x m i	xmi
u i	ui
e p s	eps
src	source
prev	previous
data type	datatype
