480	thn
481	bobtarling
482	tfmorris
483	tfmorris	mvw
484	mvw
485	bobtarling	tfmorris
486	bobtarling	mvw
487	linus
488	thn	tfmorris
489	tfmorris	linus
org.argouml.uml.reveng.ConfigPanelExtension	480
org.argouml.uml.diagram.ui.ModeCreateGraphEdge	481
org.argouml.uml.diagram.ui.FigGeneralization	481
org.argouml.uml.diagram.ui.ModeCreateGeneralization	481
org.argouml.uml.diagram.activity.ui.FigPool	481
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementLeaf	482
org.argouml.uml.diagram.static_structure.ui.FigSignal	482
org.argouml.ui.cmd.ActionSystemInfo	482
org.argouml.uml.ui.SourcePathDialog	482
org.argouml.uml.ui.foundation.core.ActionAddAttribute	482
org.argouml.uml.diagram.static_structure.ui.SelectionException	482
org.argouml.uml.cognitive.critics.WizAddInstanceVariable	482
org.argouml.uml.ui.TabTaggedValues	482
org.argouml.uml.diagram.static_structure.ui.SelectionDataType	482
org.argouml.uml.ui.foundation.core.ActionNewParameter	482
org.argouml.util.ArgoDialog	482
org.argouml.uml.ui.UMLDeprecatedCheckBox	482
org.argouml.uml.cognitive.critics.WizAddOperation	482
org.argouml.uml.reveng.ImportInterface	482
org.argouml.ui.SystemInfoDialog	482
org.argouml.uml.diagram.UMLMutableGraphSupport	482
org.argouml.uml.diagram.static_structure.ui.UMLClassDiagram	482
org.argouml.notation.NotationNameImpl	482
org.argouml.uml.ui.TabTaggedValuesModel	482
org.argouml.kernel.ProjectImpl	482
org.argouml.uml.ui.ActionSetSourcePath	482
org.argouml.kernel.ProjectManager	482
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementAbstract	482
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	482
org.argouml.uml.ui.SourcePathControllerImpl	482
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementRoot	482
org.argouml.uml.diagram.static_structure.ui.SelectionGeneralizableElement	482
org.argouml.uml.ui.UMLExpressionBodyField	482
org.argouml.uml.ui.ActionBooleanTaggedValue	482
org.argouml.uml.diagram.static_structure.ui.SelectionSignal	482
org.argouml.notation.providers.uml.NotationUtilityUml	482
org.argouml.uml.ui.behavior.common_behavior.ActionNewSignal	482
org.argouml.uml.diagram.static_structure.ui.FigClassifierBox	482
org.argouml.uml.diagram.static_structure.ui.FigClass	482
org.argouml.notation.providers.uml.MessageNotationUml	482
org.argouml.uml.ui.behavior.common_behavior.ActionNewException	482
org.argouml.ui.CmdCreateNode	482
org.argouml.uml.generator.ui.ClassGenerationDialog	482
org.argouml.uml.ui.foundation.core.ActionAddOperation	482
org.argouml.notation.providers.uml.ObjectNotationUml	482
org.argouml.uml.diagram.static_structure.ui.SelectionEnumeration	482
org.argouml.uml.ui.TabDocumentation	482
org.argouml.uml.diagram.collaboration.ui.SelectionClassifierRole	482
org.argouml.uml.generator.GeneratorManager	482
org.argouml.uml.ui.TabProps	482
org.argouml.notation.providers.OperationNotation	482
org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer	482
org.argouml.uml.diagram.static_structure.ui.FigException	482
org.argouml.uml.diagram.static_structure.ui.SelectionClass	482
org.argouml.uml.ui.UMLModelElementTaggedValueDocument	482
org.argouml.uml.diagram.ui.SelectionNodeClarifiers2	482
org.argouml.application.events.ArgoEventPump	482
org.argouml.uml.ui.foundation.core.UMLOperationSpecificationDocument	482
org.argouml.uml.DocumentationManager	482
org.argouml.notation.providers.uml.OperationNotationUml	482
org.argouml.uml.diagram.static_structure.ui.SelectionInterface	482
org.argouml.ui.explorer.ExplorerPopup	482
org.argouml.uml.cognitive.critics.WizAddConstructor	482
org.argouml.application.helpers.ResourceLoaderWrapper	483
org.argouml.uml.diagram.ArgoDiagramImpl	483
