641	thn
642	mvw	closettop_nightlybuild
643	bobtarling
644	mvw
645	bobtarling	mvw
646	linus
647	closettop_nightlybuild
648	linus	closettop_nightlybuild
649	bobtarling	closettop_nightlybuild
org.argouml.uml.ui.SourcePathDialog	641
org.argouml.uml.diagram.static_structure.ui.UMLClassDiagram	642
org.argouml.persistence.UmlFilePersister	642
org.argouml.persistence.XmiFilePersister	642
org.argouml.persistence.AbstractFilePersister	642
org.argouml.persistence.ZargoFilePersister	642
org.argouml.persistence.OldZargoFilePersister	642
org.argouml.ui.ProjectBrowser	642
org.argouml.persistence.ZipFilePersister	642
org.argouml.kernel.ProjectManager	642
org.argouml.util.ToolBarUtility	642
org.argouml.uml.diagram.ui.SelectionNodeClarifiers2	642
org.argouml.ui.ProgressMonitorWindow	643
org.argouml.ui.ArgoJFontChooser	644
org.argouml.ui.SettingsDialog	644
org.argouml.uml.diagram.static_structure.ui.StylePanelFigClass	644
org.argouml.uml.diagram.ui.ArgoFig	644
org.argouml.uml.ui.TabDocumentation	644
org.argouml.ui.SettingsTabPreferences	644
org.argouml.persistence.PersistenceManager	644
org.argouml.uml.diagram.state.ui.SelectionState	644
org.argouml.ui.SaveSwingWorker	645
org.argouml.uml.diagram.state.ui.FigRegion	646
org.argouml.kernel.ActionList	646
org.argouml.notation.NotationRenderer	646
org.argouml.uml.diagram.ui.SelectionClassifierBox	646
org.argouml.uml.diagram.state.ui.SelectionVertex	646
org.argouml.kernel.Owned	646
org.argouml.application.ArgoVersion	646
org.argouml.notation.providers.NotationUtilityProviders	646
org.argouml.uml.ui.foundation.core.ActionAddAttribute	647
org.argouml.uml.diagram.ui.ActionAddConcurrentRegion	647
org.argouml.uml.cognitive.critics.CrMultipleShallowHistoryStates	647
org.argouml.uml.cognitive.critics.WizAssocComposite	647
org.argouml.uml.diagram.use_case.ui.StylePanelFigUseCase	647
org.argouml.profile.FileModelLoader	647
org.argouml.uml.ui.UMLConditionExpressionModel	647
org.argouml.ui.TreeModelComposite	647
org.argouml.uml.ui.foundation.core.ActionSetStructuralFeatureTargetScope	647
org.argouml.notation.providers.uml.AttributeNotationUml	647
org.argouml.ui.explorer.ExplorerTreeModel	647
org.argouml.cognitive.Critic	647
org.argouml.moduleloader.ModuleLoader2	647
org.argouml.uml.diagram.ui.SelectionRerouteEdge	647
org.argouml.uml.diagram.static_structure.ui.FigStereotypeDeclaration	647
org.argouml.uml.diagram.activity.ui.UMLActivityDiagram	647
org.argouml.configuration.ConfigurationProperties	647
org.argouml.uml.cognitive.critics.WizOperName	647
org.argouml.uml.ui.foundation.core.ActionSetElementOwnershipSpecification	647
org.argouml.ui.explorer.ExplorerPerspective	647
org.argouml.profile.internal.ProfileManagerImpl	647
org.argouml.uml.ui.AbstractActionNavigate	647
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementAbstract	647
org.argouml.ui.DisplayTextTree	647
org.argouml.uml.diagram.ui.TabDiagram	647
org.argouml.uml.ui.TabConstraints	647
org.argouml.uml.ui.UMLExpressionBodyField	647
org.argouml.uml.ui.ActionGenerateProjectCode	647
org.argouml.uml.diagram.state.ui.FigStubState	647
org.argouml.uml.ui.foundation.core.ActionSetClassActive	647
org.argouml.uml.diagram.static_structure.layout.ClassdiagramLayouter	647
org.argouml.cognitive.ui.ToDoByType	647
org.argouml.profile.internal.ocl.EvaluateExpression	647
org.argouml.uml.diagram.DiagramAppearance	647
org.argouml.uml.diagram.layout.LayoutedNode	647
org.argouml.uml.diagram.static_structure.ui.FigPackage	647
org.argouml.kernel.Project	647
org.argouml.uml.ui.behavior.activity_graphs.ActionSetSynch	647
org.argouml.uml.generator.ui.ClassGenerationDialog	647
org.argouml.cognitive.ui.ToDoByDecision	647
org.argouml.uml.cognitive.critics.ChildGenUML	647
org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewStereotype	647
org.argouml.uml.ui.ActionSaveProjectAs	647
org.argouml.uml.diagram.static_structure.ui.FigInterface	647
org.argouml.uml.diagram.ui.ArgoFigGroup	647
org.argouml.uml.generator.GeneratorManager	647
org.argouml.ui.LookAndFeelMgr	647
org.argouml.uml.cognitive.critics.WizNavigable	647
org.argouml.uml.ui.TabProps	647
org.argouml.uml.diagram.layout.LayoutHelper	647
org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel	647
org.argouml.uml.ui.ActionDeleteModelElements	647
