650	toby	carnold	boger	1sturm
651	carnold	boger	1sturm
652	boger	1sturm
653	toby	boger	1sturm
654	toby	carnold	1sturm
655	carnold
656	boger
657	toby	1sturm
658	carnold	1sturm
659	1sturm
org.argouml.uml.ui.TabProps	650
org.argouml.ui.ProjectBrowser	651
org.argouml.uml.cognitive.critics.InitCognitiveCritics	652
org.argouml.uml.diagram.ui.FigMessage	652
org.argouml.uml.diagram.collaboration.ui.UMLCollaborationDiagram	652
org.argouml.uml.diagram.ui.FigNodeModelElement	653
org.argouml.uml.ui.PropPanel	654
org.argouml.uml.ui.UMLExpressionLanguageField	655
org.argouml.uml.ui.UMLChangeDispatch	655
org.argouml.uml.ui.UMLUserInterfaceComponent	655
org.argouml.uml.ui.UMLExpressionBodyField	655
org.argouml.uml.ui.UMLUserInterfaceContainer	655
org.argouml.uml.cognitive.critics.CrSeqInstanceWithoutClassifier	656
org.argouml.uml.diagram.deployment.ui.FigComponentInstance	657
org.argouml.uml.diagram.collaboration.ui.FigClassifierRole	657
org.argouml.uml.diagram.static_structure.ui.FigClass	657
org.argouml.uml.diagram.deployment.ui.FigMNode	657
org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer	657
org.argouml.uml.diagram.deployment.DeploymentDiagramGraphModel	657
org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel	657
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	657
org.argouml.uml.diagram.state.StateDiagramGraphModel	657
org.argouml.uml.diagram.use_case.UseCaseDiagramGraphModel	657
org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer	657
org.argouml.uml.diagram.ui.FigAssociation	657
org.argouml.uml.diagram.deployment.ui.FigComponent	657
org.argouml.uml.ui.TabConstraints	657
org.argouml.uml.diagram.static_structure.ui.FigInterface	657
org.argouml.application.Main	657
org.argouml.ui.NavigatorPane	657
org.argouml.uml.diagram.deployment.ui.FigNodeInstance	657
org.argouml.uml.cognitive.critics.CrNoAssociations	658
org.argouml.ui.MultiEditorPane	658
org.argouml.uml.cognitive.critics.CrUtilityViolated	658
org.argouml.ui.DetailsPane	658
org.argouml.uml.cognitive.critics.CrNoInstanceVariables	658
org.argouml.uml.cognitive.critics.CrAttrNameConflict	658
org.argouml.uml.cognitive.critics.CrNoOperations	658
org.argouml.cognitive.ui.GoListToDecisionsToItems	659
org.argouml.ui.AboutBox	659
org.argouml.uml.cognitive.critics.WizAssocComposite	659
org.argouml.uml.cognitive.critics.CrNoGuard	659
org.argouml.uml.cognitive.critics.CrInvalidFork	659
org.argouml.ui.TreeModelComposite	659
org.argouml.cognitive.ui.ToDoTreeRenderer	659
org.argouml.uml.cognitive.critics.CrIllegalName	659
org.argouml.cognitive.Critic	659
org.argouml.uml.GenDescendantClasses	659
org.argouml.uml.GenAncestorClasses	659
org.argouml.uml.cognitive.critics.CrInvalidInitial	659
org.argouml.pattern.cognitive.critics.CrConsiderSingleton	659
org.argouml.uml.diagram.activity.ui.UMLActivityDiagram	659
org.argouml.uml.cognitive.critics.CrTooManyStates	659
org.argouml.ui.StylePanelFigText	659
org.argouml.uml.cognitive.critics.CrNodeInstanceInsideElement	659
org.argouml.ui.DisplayTextTree	659
org.argouml.uml.diagram.ui.TabDiagram	659
org.argouml.uml.diagram.state.ui.FigDeepHistoryState	659
org.argouml.kernel.DelayedChangeNotify	659
org.argouml.uml.cognitive.critics.CrNoOutgoingTransitions	659
org.argouml.uml.diagram.state.ui.SelectionState	659
org.argouml.uml.diagram.ui.SPFigEdgeModelElement	659
org.argouml.uml.cognitive.critics.CrNavFromInterface	659
org.argouml.cognitive.ui.ToDoByType	659
org.argouml.cognitive.ui.GoListToOffenderToItem	659
org.argouml.uml.diagram.static_structure.ui.FigPackage	659
org.argouml.uml.cognitive.critics.CrDisambigStateName	659
org.argouml.uml.generator.ui.ClassGenerationDialog	659
org.argouml.cognitive.ui.ToDoByDecision	659
org.argouml.uml.cognitive.critics.ChildGenUML	659
org.argouml.uml.cognitive.critics.CrWrongDepEnds	659
org.argouml.uml.cognitive.critics.CrCircularAssocClass	659
org.argouml.cognitive.ui.WizStepChoice	659
org.argouml.cognitive.ControlMech	659
org.argouml.uml.cognitive.critics.CrClassWithoutComponent	659
org.argouml.uml.cognitive.critics.CrIllegalGeneralization	659
org.argouml.uml.cognitive.critics.CrMergeClasses	659
org.argouml.uml.cognitive.critics.WizNavigable	659
org.argouml.cognitive.ui.KnowledgeTypeNode	659
