	org.argouml.application.api	org.argouml.application	org.argouml.application.events	org.argouml.application.helpers	org.argouml.application.security	org.argouml.cognitive	org.argouml.cognitive.checklist	org.argouml.cognitive.checklist.ui	org.argouml.cognitive.critics	org.argouml.cognitive.critics.ui	org.argouml.cognitive.ui	org.argouml.configuration	org.argouml.gefext	org.argouml.i18n	org.argouml.kernel	org.argouml.language.ui	org.argouml.moduleloader	org.argouml.notation	org.argouml.notation.providers	org.argouml.notation.providers.java	org.argouml.notation.providers.uml	org.argouml.notation.ui	org.argouml.ocl	org.argouml.pattern.cognitive.critics	org.argouml.persistence	org.argouml.profile	org.argouml.profile.init	org.argouml.profile.internal	org.argouml.profile.internal.ocl	org.argouml.profile.internal.ocl.uml14	org.argouml.profile.internal.ui	org.argouml.swingext	org.argouml.taskmgmt	org.argouml.ui	org.argouml.ui.cmd	org.argouml.ui.explorer	org.argouml.ui.explorer.rules	org.argouml.ui.targetmanager	org.argouml.uml	org.argouml.uml.cognitive.checklist	org.argouml.uml.cognitive	org.argouml.uml.cognitive.critics	org.argouml.uml.diagram.activity	org.argouml.uml.diagram.activity.layout	org.argouml.uml.diagram.activity.ui	org.argouml.uml.diagram	org.argouml.uml.diagram.collaboration	org.argouml.uml.diagram.collaboration.ui	org.argouml.uml.diagram.deployment	org.argouml.uml.diagram.deployment.ui	org.argouml.uml.diagram.layout	org.argouml.uml.diagram.state	org.argouml.uml.diagram.state.ui	org.argouml.uml.diagram.static_structure	org.argouml.uml.diagram.static_structure.layout	org.argouml.uml.diagram.static_structure.ui	org.argouml.uml.diagram.ui	org.argouml.uml.diagram.use_case.ui	org.argouml.uml.diagram.use_case	org.argouml.uml.generator	org.argouml.uml.generator.ui	org.argouml.uml.reveng	org.argouml.uml.reveng.ui	org.argouml.uml.ui	org.argouml.uml.ui.behavior.activity_graphs	org.argouml.uml.ui.behavior.collaborations	org.argouml.uml.ui.behavior.common_behavior	org.argouml.uml.ui.behavior.state_machines	org.argouml.uml.ui.behavior.use_cases	org.argouml.uml.ui.foundation.core	org.argouml.uml.ui.foundation.extension_mechanisms	org.argouml.uml.ui.model_management	org.argouml.uml.util.namespace	org.argouml.uml.util	org.argouml.util	org.argouml.util.logging	org.argouml.util.osdep
closettop_nightlybuild	2	2	1	1	0	6	1	1	1	2	10	3	1	1	6	1	1	4	0	1	3	1	1	0	16	7	1	4	3	1	0	0	0	18	5	10	1	1	0	1	0	15	0	0	1	6	1	2	1	2	4	1	6	1	3	11	36	3	1	3	1	3	0	37	2	0	1	3	0	17	3	0	1	0	5	1	2
linus	7	4	15	3	1	22	4	2	3	4	39	7	15	1	19	1	5	9	21	7	24	3	5	5	39	19	2	5	13	8	2	5	3	77	31	19	88	4	13	2	4	114	1	1	15	22	1	9	1	18	6	3	34	1	10	36	114	13	1	7	1	13	3	103	4	2	20	20	7	48	4	3	4	2	25	2	3
bobtarling	2	1	1	1	1	11	1	1	0	0	21	2	0	1	15	0	2	1	7	2	4	0	5	1	36	7	0	1	1	1	2	0	2	44	12	9	3	1	10	2	2	81	1	0	11	12	1	6	1	12	0	3	27	1	3	26	89	9	1	1	1	3	0	73	2	1	4	16	5	35	2	0	0	0	6	0	2
tfmorris	3	3	6	2	0	18	3	2	1	2	35	5	3	1	12	1	4	7	2	7	23	3	4	5	34	17	2	5	13	8	2	2	1	59	23	15	85	3	12	2	3	111	1	1	11	13	1	6	1	15	0	3	24	1	9	32	100	8	1	6	1	12	3	95	4	2	20	19	7	48	4	3	2	2	19	2	3
dthompson	7	3	15	3	1	22	4	2	3	4	38	7	14	1	16	1	5	6	19	7	21	3	5	5	39	18	1	4	0	0	0	4	3	67	26	17	85	4	11	2	3	112	1	1	13	14	1	7	1	16	6	3	29	1	10	33	106	10	1	7	1	12	0	99	4	2	20	20	7	48	4	3	4	2	18	1	2
mvw	7	3	13	2	1	21	4	2	3	4	38	7	14	1	11	1	5	8	21	7	24	3	5	5	32	1	1	1	0	1	0	4	3	60	27	17	81	4	10	2	3	111	1	1	15	15	1	9	1	18	6	3	31	1	10	33	97	13	1	6	1	6	0	96	2	2	18	20	7	47	3	3	4	0	13	1	2
mkl	2	2	4	1	0	14	0	1	2	1	25	4	0	1	4	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	1	0	19	3	7	19	1	5	0	3	111	1	0	4	3	1	5	1	7	3	1	14	1	8	14	25	6	1	1	1	2	0	62	1	1	9	5	5	20	0	0	4	0	5	1	1
thierrylach	2	2	5	1	1	6	0	1	1	1	15	5	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	20	0	0	0	1	1	1	0	17	0	0	3	2	1	5	1	10	0	1	7	1	2	9	8	8	1	0	1	1	0	20	0	0	0	0	0	0	0	0	0	0	2	0	0
kataka	2	1	2	1	0	5	1	1	0	1	14	4	0	1	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	21	0	2	20	4	4	1	0	40	1	0	4	3	1	5	1	13	0	1	17	1	2	13	18	9	1	1	1	2	0	57	0	1	9	15	4	25	0	0	0	0	1	0	0
thn	1	2	0	1	0	4	1	0	0	1	2	0	0	1	6	0	0	1	1	1	1	1	2	3	17	4	0	2	0	1	0	1	0	10	3	3	2	0	4	0	0	4	0	0	1	0	0	0	0	4	0	0	0	0	0	6	7	1	0	1	1	7	3	27	0	0	0	0	0	0	3	0	0	0	1	0	0
