	org.argouml.application.api	org.argouml.application	org.argouml.application.events	org.argouml.application.helpers	org.argouml.application.security	org.argouml.cognitive	org.argouml.cognitive.checklist	org.argouml.cognitive.checklist.ui	org.argouml.cognitive.critics	org.argouml.cognitive.critics.ui	org.argouml.cognitive.ui	org.argouml.configuration	org.argouml.gefext	org.argouml.i18n	org.argouml.kernel	org.argouml.language.ui	org.argouml.moduleloader	org.argouml.notation	org.argouml.notation.providers	org.argouml.notation.providers.java	org.argouml.notation.providers.uml	org.argouml.notation.ui	org.argouml.ocl	org.argouml.pattern.cognitive.critics	org.argouml.persistence	org.argouml.profile	org.argouml.profile.init	org.argouml.profile.internal	org.argouml.profile.internal.ocl	org.argouml.profile.internal.ocl.uml14	org.argouml.profile.internal.ui	org.argouml.swingext	org.argouml.taskmgmt	org.argouml.ui	org.argouml.ui.cmd	org.argouml.ui.explorer	org.argouml.ui.explorer.rules	org.argouml.ui.targetmanager	org.argouml.uml	org.argouml.uml.cognitive.checklist	org.argouml.uml.cognitive	org.argouml.uml.cognitive.critics	org.argouml.uml.diagram.activity	org.argouml.uml.diagram.activity.layout	org.argouml.uml.diagram.activity.ui	org.argouml.uml.diagram	org.argouml.uml.diagram.collaboration	org.argouml.uml.diagram.collaboration.ui	org.argouml.uml.diagram.deployment	org.argouml.uml.diagram.deployment.ui	org.argouml.uml.diagram.layout	org.argouml.uml.diagram.state	org.argouml.uml.diagram.state.ui	org.argouml.uml.diagram.static_structure	org.argouml.uml.diagram.static_structure.layout	org.argouml.uml.diagram.static_structure.ui	org.argouml.uml.diagram.ui	org.argouml.uml.diagram.use_case.ui	org.argouml.uml.diagram.use_case	org.argouml.uml.generator	org.argouml.uml.generator.ui	org.argouml.uml.reveng	org.argouml.uml.reveng.ui	org.argouml.uml.ui	org.argouml.uml.ui.behavior.activity_graphs	org.argouml.uml.ui.behavior.collaborations	org.argouml.uml.ui.behavior.common_behavior	org.argouml.uml.ui.behavior.state_machines	org.argouml.uml.ui.behavior.use_cases	org.argouml.uml.ui.foundation.core	org.argouml.uml.ui.foundation.extension_mechanisms	org.argouml.uml.ui.model_management	org.argouml.uml.util.namespace	org.argouml.uml.util	org.argouml.util	org.argouml.util.logging	org.argouml.util.osdep
closettop_nightlybuild	2	3	1	1	0	7	1	1	1	2	10	3	1	2	6	1	1	4	0	1	3	1	1	0	16	7	1	4	3	1	0	0	0	19	7	10	1	1	0	1	0	15	0	0	1	6	1	2	1	2	4	1	6	1	4	11	36	3	1	3	2	3	0	38	2	0	1	3	0	17	3	0	1	0	6	1	2
linus	40	65	55	26	7	166	27	14	14	22	250	57	45	26	111	2	43	29	71	25	89	12	36	44	170	53	5	15	26	17	4	14	8	493	114	101	378	21	72	19	18	1045	5	2	79	93	12	72	13	155	23	29	195	16	64	248	571	106	15	23	20	69	6	719	12	15	121	125	40	304	18	12	14	5	94	12	9
bobtarling	4	24	3	19	2	36	1	2	0	0	66	2	0	1	171	0	4	2	11	2	9	0	15	1	308	8	0	1	1	2	3	0	2	203	44	61	6	12	35	2	15	205	1	0	86	98	21	70	12	118	0	29	134	36	6	412	741	76	23	1	5	22	0	411	2	2	5	17	14	99	6	0	0	0	18	0	4
tfmorris	15	35	14	12	0	69	11	7	1	7	106	6	6	5	96	1	23	30	2	22	109	7	14	7	198	65	7	23	16	13	2	2	2	256	76	84	189	15	44	4	9	261	1	2	72	70	3	38	3	93	0	6	137	10	31	222	510	56	5	15	8	100	4	367	6	3	29	32	9	96	20	4	3	9	39	3	3
dthompson	7	4	15	3	1	22	4	2	3	4	38	7	14	1	16	1	6	6	20	7	21	3	5	5	40	18	1	4	0	0	0	4	3	75	26	17	85	4	11	2	3	112	1	1	13	14	1	10	1	16	6	3	30	1	10	34	129	12	1	7	1	12	0	99	4	2	20	20	7	48	4	3	4	2	18	1	2
mvw	29	81	36	18	2	98	10	9	6	19	219	28	14	10	157	2	14	73	144	60	310	16	13	20	139	1	2	4	0	1	0	4	11	452	135	146	303	36	45	7	11	660	4	3	181	87	12	100	8	144	9	24	337	13	38	402	872	140	8	17	15	34	0	627	3	6	61	73	16	169	7	4	6	0	40	1	4
mkl	2	16	7	3	0	40	0	1	2	3	38	5	0	2	11	0	0	0	0	0	0	0	1	10	3	0	0	0	0	0	0	1	0	49	7	11	19	1	6	0	4	291	2	0	6	4	2	6	3	20	4	2	18	5	26	39	56	10	2	1	1	7	0	115	1	1	12	5	5	24	0	0	5	0	7	1	1
thierrylach	11	9	23	1	1	10	0	1	1	1	16	21	0	1	8	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	53	0	0	0	1	2	1	0	18	0	0	4	2	2	5	2	19	0	2	10	2	2	18	14	10	1	0	1	2	0	34	0	0	0	0	0	0	0	0	0	0	2	0	0
kataka	3	16	2	5	0	11	1	6	0	3	33	4	0	2	51	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	132	0	5	23	26	9	1	0	65	1	0	26	20	10	32	11	65	0	11	102	14	2	101	161	55	9	1	6	3	0	343	0	2	11	19	8	28	0	0	0	0	1	0	0
thn	1	5	0	2	0	4	1	0	0	1	2	0	0	1	19	0	0	2	1	1	2	1	2	3	31	10	0	9	0	1	0	1	0	18	3	13	3	0	15	0	0	7	0	0	1	0	0	0	0	4	0	0	0	0	0	26	18	3	0	2	9	30	8	47	0	0	0	0	0	0	3	0	0	0	1	0	0
