Id	Modularity Class
org.argouml.application.helpers.ResourceLoaderWrapper	0
org.argouml.ui.CmdCreateNode	0
org.argouml.application.helpers.ResourceLoader	0
org.argouml.uml.diagram.collaboration.ui.ActionAddClassifierRole	0
org.argouml.model.DummyModelCommand	1
org.argouml.model.ModelCommand	1
org.argouml.model.ModelCommandCreationObserver	1
org.argouml.model.ModelMemento	1
org.argouml.uml.generator.ui.ClassGenerationDialog	2
org.argouml.uml.ui.SourcePathDialog	2
org.argouml.ui.GotoDialog	2
org.argouml.application.events.ArgoEventPump	2
org.argouml.uml.generator.GeneratorManager	2
org.argouml.application.events.ArgoGeneratorEvent	2
org.argouml.application.events.ArgoGeneratorEventListener	2
org.argouml.language.ui.LanguageComboBox	2
org.argouml.uml.generator.CodeGenerator	2
org.argouml.uml.generator.GeneratorHelper	2
org.argouml.uml.generator.Language	2
org.argouml.uml.generator.SourceUnit	2
org.argouml.ui.explorer.ActionPerspectiveConfig	2
org.argouml.uml.ui.ActionGenerateOne	3
org.argouml.uml.ui.ActionLayout	3
org.argouml.cognitive.ui.ActionGoToCritique	3
org.argouml.uml.ui.ActionGenerationSettings	3
org.argouml.profile.internal.ProfileUML	4
org.argouml.profile.UserDefinedProfile	4
org.argouml.profile.internal.ProfileManagerImpl	4
org.argouml.kernel.ProfileConfiguration	4
org.argouml.profile.DefaultTypeStrategy	4
org.argouml.profile.FigNodeStrategy	4
org.argouml.profile.FileModelLoader	4
org.argouml.profile.FormatingStrategy	4
org.argouml.profile.internal.FormatingStrategyUML	4
org.argouml.profile.internal.ModelUtils	4
org.argouml.profile.Profile	4
org.argouml.profile.ProfileException	4
org.argouml.profile.ProfileFacade	4
org.argouml.profile.ProfileManager	4
org.argouml.profile.ProfileModelLoader	4
org.argouml.profile.ResourceModelLoader	4
org.argouml.profile.StreamModelLoader	4
org.argouml.ui.ProjectSettingsTabProfile	4
org.argouml.ui.SettingsTabProfile	4
org.argouml.profile.ZipModelLoader	4
org.argouml.ui.explorer.ActionDeployProfile	5
org.argouml.profile.init.ProfileLoader	5
org.argouml.ui.LoadSwingWorker	6
org.argouml.ui.SaveSwingWorker	6
org.argouml.ui.SwingWorker	6
org.argouml.ui.cmd.GenericArgoMenuBar	6
org.argouml.util.ArgoFrame	6
org.argouml.ui.cmd.ShortcutMgr	6
org.argouml.application.api.AbstractArgoJPanel	6
org.argouml.ui.cmd.ActionAboutArgoUML	6
org.argouml.ui.ProgressMonitorWindow	6
org.argouml.uml.ui.AbstractActionAddModelElement2	6
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance	6
org.argouml.ui.explorer.ActionExportProfileXMI	6
org.argouml.ui.cmd.SettingsTabShortcuts	6
org.argouml.ui.cmd.ActionShowXMLDump	6
org.argouml.ui.cmd.ActionSystemInfo	6
org.argouml.ui.cmd.ShortcutField	6
org.argouml.ui.cmd.ActionWrapper	6
org.argouml.ui.cmd.ShortcutChangedEvent	6
org.argouml.ui.cmd.ShortcutChangedListener	6
org.argouml.util.KeyEventUtils	6
org.argouml.util.ThreadUtils	6
org.argouml.model.XmiExtensionWriter	6
org.argouml.util.UIUtils	6
org.argouml.ui.ProjectBrowser	7
org.argouml.uml.diagram.ui.TabDiagram	7
org.argouml.ui.ExceptionDialog	7
org.argouml.ui.cmd.ActionNew	7
org.argouml.ui.cmd.ActionExit	7
org.argouml.ui.ShadowComboBox	8
org.argouml.uml.diagram.ui.FigNameWithAbstract	8
org.argouml.uml.diagram.ui.FigNameWithAbstractAndBold	8
org.argouml.uml.diagram.ui.FigMultiLineTextWithBold	8
org.argouml.uml.diagram.static_structure.ui.FigOperation	8
org.argouml.uml.diagram.static_structure.ui.FigAttribute	8
org.argouml.uml.diagram.static_structure.ui.FigEnumerationLiteral	8
org.argouml.uml.diagram.static_structure.ui.FigException	8
org.argouml.uml.diagram.ui.FigSingleLineTextWithNotation	8
org.argouml.uml.diagram.ui.FigAssociation	9
org.argouml.uml.diagram.ui.FigAssociationEnd	9
org.argouml.uml.diagram.ui.CompartmentFigText	9
org.argouml.uml.diagram.static_structure.ui.FigFeature	9
org.argouml.uml.diagram.ui.FigEdgeModelElement	10
org.argouml.uml.diagram.ui.FigNodeModelElement	10
org.argouml.uml.diagram.ui.ActionRemoveFromDiagram	10
org.argouml.uml.ui.ActionGenerateAll	11
