class_name,description
org.argouml.uml.ui.foundation.core.UMLAssociationEndAggregationRadioButtonPanel,u m l association end aggregation radio button panel build model label texts and action commands 
org.argouml.persistence.AbstractFilePersister,abstract file persister access 0 copy file do save has an icon new persister get member file persister get member file persister is file extension applicable is save enabled register persister is load enabled pre save post save do load save accept create temp file get extension get extension get extension get desc get description add progress listener remove progress listener log persisters by class persisters by tag listener list 
org.argouml.ui.AboutBox,about box localize create pane get credits add about tab remove about tab get version inset px extra tabs tabs splash panel serial version u i d 
org.argouml.uml.diagram.DiagramUndoManager$DiagramCommand,diagram command to string execute undo memento this 0 
org.argouml.uml.cognitive.critics.CrMultipleShallowHistoryStates,cr multiple shallow history states get criticized design materials predicate2 to do item compute offenders still valid log serial version u i d 
org.argouml.persistence.XmiInputStream,xmi input stream real close is name terminator call extension parser close read read tag name end tag name attributes extension found end found parsing extension reading name xmi extension parser string buffer type event spacing read count progress mgr 
org.argouml.persistence.VersionException,version exception 
org.argouml.ui.explorer.ExplorerTree$ExplorerMouseListener,explorer mouse listener show popup menu my double click mouse clicked mouse pressed mouse released m l tree this 0 
org.argouml.ui.explorer.rules.GoProjectToStateMachine,go project to state machine get dependencies get rule name get children 
org.argouml.uml.diagram.static_structure.ui.FigAttribute,fig attribute get notation provider type 
org.argouml.ui.explorer.ExplorerTreeModel,explorer tree model access 0 structure changed get node updater model element changed model element added model element removed traverse modified reorder children collect children merge children prepare add remove sets add nodes to map remove nodes from map remove from map find nodes add to map item state changed update children insert node into remove node from parent log rules model element map order updating children node updater tree serial version u i d 
org.argouml.ui.ProjectSettingsDialog,project settings dialog access 1 access 0 show dialog show dialog handle reset to default handle refresh handle save handle open window activated window closed window closing window deactivated window deiconified window iconified window opened handle cancel action performed apply button reset to default button tabs doing show window open 
org.argouml.uml.ui.TabStereotype$AvailableListSelectionListener,available list selection listener value changed this 0 
org.argouml.profile.internal.ocl.uml14.OclType,ocl type get name name 
org.argouml.application.events.ArgoStatusEvent,argo status event get event start range get text text 
org.argouml.uml.GenAncestorClasses,gen ancestor classes gen accumulate ancestors 
org.argouml.uml.ui.behavior.state_machines.PropPanelSimpleState,prop panel simple state serial version u i d 
org.argouml.uml.ui.behavior.state_machines.PropPanelSubmachineState,prop panel submachine state add extra buttons update extra buttons serial version u i d 
org.argouml.uml.diagram.activity.ui.UMLActivityDiagram,u m l activity diagram get state machine does accept get label name get uml actions create graph model set state machine get action state get action transition get action swimlane get action call state get trigger actions get action guard get effect actions get action call event get action change event get action signal event get action time event get action call action get action send action change partition is state in partition get action start pseudo state get action final pseudo state get action junction pseudo state get action fork pseudo state get action join pseudo state get action object flow state get action create action get action destroy action get action return action get action terminate action get action uninterpreted action get action action sequence get action subactivity state is relocation allowed encloser changed get dependent element create diagram element get relocation candidates relocate post load setup initialize get owner property change log serial version u i d the activity graph action state action start pseudo state action final pseudo state action junction pseudo state action fork pseudo state action join pseudo state action transition action object flow state action swimlane action call state action subactivity state action call event action change event action signal event action time event action guard action call action action create action action destroy action action return action action send action action terminate action action uninterpreted action action action sequence  assertions disabled 
org.argouml.uml.ui.foundation.core.PropPanelTemplateParameter,prop panel template parameter serial version u i d 
org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionTypedValuesListModel,u m l tag definition typed values list model build model list is valid element 
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementAbstract,action set generalizable element abstract get instance action performed singleton 
org.argouml.uml.ui.behavior.collaborations.ActionSetRepresentedOperationCollaboration,action set represented operation collaboration action performed 
