org.argouml.model.XmiWriter	  xmi writer xmi writer set xmi extension writer write  
org.argouml.ui.AboutBox	  about box about box localize remove about tab create pane get credits add about tab get   inset px extra tabs tabs splash panel     uid  
org.argouml.persistence.AbstractFilePersister	  abstract file persister abstract file persister     post save pre save do load copy file   file extension applicable get member file persister get member file persister   save enabled   load enabled register persister do save has an icon new persister save accept create temp file get extension get extension get extension get description get description add progress listener remove progress listener   persisters by class persisters by tag listener list  
org.argouml.cognitive.ui.GoListToDecisionsToItems	  go list    decisions    items go list    decisions    items get decision list has children get child count condition get child   leaf get child count add tree model listener get index of child remove tree model listener value for path changed  
org.argouml.model.euml.EUMLModelImplementation	  e uml model implementation e uml model implementation  
org.argouml.uml.cognitive.critics.CrMultipleShallowHistoryStates	  critic multiple shallow history states critic multiple shallow history states compute offenders still valid    do item get criticized design materials predicate        uid  
org.argouml.uml.reveng.ImportSettingsInternal	  import settings internal import settings internal   descend selected   changed only selected   diagram layout selected   create diagrams selected   minimize figures selected  
org.argouml.persistence.XmiInputStream	  xmi input stream xmi input stream   name terminator call extension parser real close close read read tag name end tag name attributes extension found end found parsing extension reading name xmi extension parser string buffer type event spacing read count progress manager  
org.argouml.model.MetaTypes	  meta types meta types get namespace get state machine get association end role get enumeration literal get signal get scope kind get artifact get binding get flow get operation get usage get link end get stereotype get abstraction get association class get association end get constraint get dependency get element residence get generalization get template argument get template parameter get behavioral feature get expression get extension point get interaction get multiplicity get component instance get node instance get classifier get transition get aggregation kind get pseudostate kind get visibility kind get link get guard get use case get activity get data value get extend get include get action sequence get tag definition get model element get association get attribute link get create action get classifier in state get element import get call action get tagged value get actor get reception get stimulus get package import get primitive type get association role get collaboration get classifier role get action expression get boolean expression get multiplicity range get destroy action get link object get return action get send action get subsystem instance get terminate action get collaboration instance set get interaction instance set get uninterpreted action get sub activity state get object flow state get action state get sub machine state get central buffer node get composite state get accept event action get control flow get data store node get expansion node get final state get object flow get pseudostate get send signal action get simple state get state vertex get synch state get change event get relationship get signal event get structural feature get activity parameter node get call behavior action get call concurrency kind get create object action get destroy object action get partition get call state get output pin get stub state get input pin get uml class get event get subsystem get call event get time event get generalizable element get parameter direction kind get name get instance get method get package get message get exception get state get enumeration get object get component get profile get model get comment get action get attribute get element get data type get parameter get feature get node get interface get argument  
org.argouml.ui.explorer.rules.GoProjectToStateMachine	  go project    state machine go project    state machine get dependencies get rule name get children  
org.argouml.uml.diagram.static_structure.ui.FigSubsystem	  figure subsystem figure subsystem construct figures  
org.argouml.uml.diagram.static_structure.ui.FigAttribute	  figure attribute figure attribute get notation provider type  
org.argouml.ui.StylePanelFigNodeModelElement	  style panel figure node model element style panel figure node model element add    display pane set target refresh property change item state changed refresh transaction display label path check box display pane  
org.argouml.core.propertypanels.ui.UMLComboBox	  uml combo box uml combo box do it get target remove notify action performed     uid action  
org.argouml.ui.ProjectSettingsDialog	  project settings dialog project settings dialog         show dialog show dialog handle reset    default handle refresh handle save handle open window activated window closed window closing window deactivated window deiconified window iconified window opened handle cancel action performed apply button reset    default button tabs doing show window open  
org.argouml.ui.explorer.ExplorerTreeModel	  explorer tree model explorer tree model     model element added structure changed model element changed model element removed traverse modified reorder children collect children merge children prepare add remove sets add nodes    map remove nodes from map remove from map get node updater find nodes add    map item state changed update children insert node into remove node from parent   rules model element map order updating children node updater tree     uid  
org.argouml.profile.internal.ocl.uml14.OclType	  ocl type ocl type get name name  
org.argouml.application.events.ArgoStatusEvent	  argo status event argo status event get event start range get text text  
org.argouml.uml.GenAncestorClasses	  generator ancestor classes generator ancestor classes generator accumulate ancestors  
org.argouml.uml.GenDescendantClasses	  generator descendant classes generator descendant classes generator get singleton accumulate descendants singleton  
org.argouml.ui.explorer.rules.GoStateToInternalTrans	  go state    internal transitions go state    internal transitions get dependencies get rule name get children  
org.argouml.deployment2.diagram.DeploymentDiagramGraphModel	  deployment diagram graph model deployment diagram graph model add edge  
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementAbstract	  action set generalizable element abstract action set generalizable element abstract get instance action performed singleton  
org.argouml.profile.init.InitProfileSubsystem	  init profile subsystem init profile subsystem init  
org.argouml.core.propertypanels.ui.UMLComboBoxNavigator	  uml combo box navigator uml combo box navigator set button enabled get preferred size set enabled action performed item state changed     uid icon the combo box the button  
org.argouml.notation.ui.SettingsTabNotation	  settings tab notation settings tab notation set project build panel get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh create check box get boolean set visible create label top panel notation language use guillemots show association names show visibility show multiplicity show initial value show properties show types show stereotypes show singular multiplicities scope p  assertions disabled  
org.argouml.uml.ui.foundation.core.UMLParameterDirectionKindRadioButtonPanel	  uml parameter direction kind radio button panel uml parameter direction kind radio button panel build model label texts and action commands  
org.argouml.uml.ui.ActionGenerateProjectCode	  action generate project code action generate project code   code relevant classifier   enabled action performed  
org.argouml.profile.internal.ocl.EvaluateInvariant	  evaluate invariant evaluate invariant   ok case a constraint ok expression evaluator model element model interpreter  
org.argouml.uml.reveng.ConfigPanelExtension	  configure panel extension configure panel extension get datatype dispose dialog create grid bag constraints final create grid bag constraints get attribute key import extended model attribute key import extended model arrays key import extended collections flag key import extended collections list key import extended ordered collections flag key import extended ordered collections list configure panel attribute datatype model collections model ordered collections collection list ordered collection list  
org.argouml.uml.diagram.collaboration.ui.PropPanelUMLCollaborationDiagram	  property panel uml collaboration diagram property panel uml collaboration diagram  
org.argouml.uml.generator.CodeGenerator	  code generator code generator generate files generate file list generate file separator  
org.argouml.uml.PredicateNotInTrash	  predicate not in trash predicate not in trash predicate evaluate  
org.argouml.state2.diagram.UMLStateDiagram	  uml state diagram uml state diagram  
org.argouml.kernel.Project	  project project uml project profile project  
org.argouml.model.ModelMemento	  model memento model memento dispose redo undo  
org.argouml.uml.generator.ui.ClassGenerationDialog	  class generation dialog class generation dialog                             name buttons save language do browse build languages get classpath entries set class table column widths action performed source language tag   class table model   path in model languages class table output directory combo box language history     uid  
org.argouml.model.mdr.UmlHelperMDRImpl	  uml helper mdr implement uml helper mdr implement   movable add listeners    model delete collection new position get source move get destination model implement  
org.argouml.cognitive.ui.ToDoByDecision	     do by decision    do by decision    do items changed    do items added    do items removed    do list changed    
org.argouml.ui.cmd.ActionAboutArgoUML	  action about argo uml action about argo uml action performed     uid  
org.argouml.uml.cognitive.critics.ChildGenUML	  child generator uml child generator uml generator gen     
org.argouml.uml.cognitive.critics.CrCircularAssocClass	  critic circular association class critic circular association class get criticized design materials predicate      uid  
org.argouml.cognitive.ui.WizStepChoice	  wizard step choice wizard step choice action performed get selected index instructions choices selected index     uid  
org.argouml.configuration.IConfigurationFactory	  i configuration factory i configuration factory get configuration handler  
org.argouml.uml.cognitive.critics.CrMergeClasses	  critic merge classes critic merge classes get criticized design materials predicate   
org.argouml.util.PredicateEquals	  predicate equals predicate equals evaluate pattern  
org.argouml.notation.providers.java.InitNotationJava	  init notation java init notation java get project settings tabs get details tabs get settings tabs init  
org.argouml.notation.providers.java.AssociationNameNotationJava	  association name notation java association name notation java get parsing help initialise listener    string parse  
org.argouml.uml.ui.AbstractActionNewModelElement	  abstract action new model element abstract action new model element get target set target target  
org.argouml.uml.ui.behavior.common_behavior.ActionNewUninterpretedAction	  action new uninterpreted action action new uninterpreted action create action get button instance get instance singleton  
org.argouml.uml.cognitive.critics.CrCompInstanceWithoutNode	  critic component instance without node critic component instance without node compute offenders still valid    do item predicate   
org.argouml.uml.ui.TabStereotype	  tab stereotype tab stereotype         should be enabled should be enabled                 make panel do add stereotype do remove stereotype set target inset px orientation selected list model available list model selected scroll available scroll panel add st button remove st button xfer buttons selected list available list     uid  
org.argouml.core.propertypanels.ui.UMLMessageActivatorComboBox	  uml message activator combo box uml message activator combo box do it     uid  
org.argouml.uml.diagram.ui.FigEnumLiteralsCompartment	  figure enum literals compartment figure enum literals compartment get notation type get compartment type get uml collection create figure text get name  
org.argouml.sequence2.SequenceDiagramModule	  sequence diagram module sequence diagram module get name disable enable get information   property panel factory  
org.argouml.sequence2.diagram.SequenceDiagramFactory	  sequence diagram factory sequence diagram factory create diagram create diagram    
org.argouml.model.Model	  model model get state machines factory get state machines helper get common behavior helper get core helper get uml factory get data types helper get facade get uml helper get model management helper get pump get scope kind get xmi reader get xmi writer get meta types get extension mechanisms factory get copy helper get core factory get use cases factory get use cases helper get changeable kind get aggregation kind get pseudostate kind get concurrency kind get direction kind get ordering kind get visibility kind get data types factory get common behavior factory get extension mechanisms helper get diagram interchange model get activity graphs factory get activity graphs helper get collaborations factory get collaborations helper get model management factory   initiated initialise set implementation set model command creation observer get model command creation observer execute activity graphs helper collaborations helper common behavior helper core helper data types helper extension mechanisms helper state machines helper uml helper use cases helper model command creation observer implement  
org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel	  collaboration diagram graph model collaboration diagram graph model get interaction set collaboration add edge can add edge get ports get in edges get out edges can add node add node can connect add node related edges get owner get owner property change vetoable change interaction       uid  
org.argouml.uml.ui.UMLModelElementTaggedValueDocument	  uml model element tagged value document uml model element tagged value document get property set property  
org.argouml.uml.ui.ActionDeleteModelElements	  action delete model elements action delete model elements     get target follower should be enabled sure remove model element sure remove action performed     uid target follower    
org.argouml.uml.diagram.ArgoDiagram	  argo diagram argo diagram get namespace get project post load post save pre save presentation for set item uid get item uid set project set namespace encloser changed get edges get nodes repair set model element namespace get graph model create diagram element get diagram settings get veto message get containing figure presentations for get dependent element get figure iterator set diagram settings count contained get name add remove set name get owner add property change listener remove property change listener property change add vetoable change listener remove vetoable change listener get layer damage namespace key name key  
org.argouml.core.propertypanels.ui.UMLActivityGraphPartitionListModel	  uml activity graph partition list model uml activity graph partition list model   valid element build model list  
org.argouml.ui.TabModelTarget	  tab model target tab model target  
org.argouml.ui.explorer.rules.GoTransitionToTarget	  go transition    target go transition    target get dependencies get rule name get children  
org.argouml.ocl.CriticOclEvaluator	  critic ocl evaluator critic ocl evaluator eval    string eval    string get instance instance evaluator  
org.argouml.model.euml.ExtensionMechanismsFactoryEUMLImpl	  extension mechanisms factory e uml implement extension mechanisms factory e uml implement build stereotype build stereotype build stereotype build stereotype build stereotype copy tagged values build tagged value build tagged value copy stereotype copy stereotype copy tag definition create stereotype create stereotype create tagged value build tag definition build tag definition create tag definition model implement editing domain  
org.argouml.uml.ui.UMLEditableComboBox	  uml editable combo box uml editable combo box do on edit focus gained focus lost action performed  
org.argouml.application.Main	  main main project url open project init   print usage init model perform commands internal init translator init preinitialize parse command line initialize splash initialize subsystems get most recent project perform commands add post load action check jvm   check hosts file set system properties initialize gui main update progress   default logging configuration default model implementation post load actions do splash reload recent batch commands project name the theme show uml warning  
org.argouml.notation.NotationProviderFactory2	  notation provider factory  notation provider factory  get notation provider get notation provider add notation provider set default notation remove notation get notation provider class get instance   type name type transition type state body type action state type attribute type operation type object type component instance type node instance type object flow state type type object flow state state type call state type classifier role type message type extension point type association end name type association role type association name type multiplicity type enumeration literal type sd message default language all languages instance  
org.argouml.notation.ui.InitNotationUI	  init notation ui init notation ui get project settings tabs get details tabs get settings tabs init  
org.argouml.ui.explorer.ExplorerPopup	  explorer popup explorer popup         menu localize recursive add build directional create menu item init menu create diagrams init menu create module actions init menu create model elements add menu item for both ends of add create model element action create diagrams       uid  
